run,seed,model,timestamp,iterations,iterations_with_data,iterations_rejected,executed,accepted,rejected,encoding_errors,crashes,structural_fingerprints,rejection_signatures,acceptance_percentage,problems
run-01-seed-0000,0,,2026-09-04T18:42:21.737012+00:00,1,1,0,500,290,210,0,0,263,86,58.0,
run-02-seed-0001,1,,2026-09-04T18:42:55.265523+00:00,1,1,0,500,279,221,0,0,292,102,55.8,
run-03-seed-0002,2,,2026-09-04T18:43:29.087919+00:00,1,1,0,500,293,207,0,0,287,90,58.6,
run-04-seed-0003,3,,2026-09-04T18:44:03.474172+00:00,1,1,0,500,285,215,0,0,267,92,57.0,
run-05-seed-0004,4,,2026-09-04T18:44:38.530656+00:00,1,1,0,500,294,206,0,0,271,92,58.8,
run-06-seed-0005,5,,2026-09-04T18:45:14.766918+00:00,1,1,0,500,296,204,0,0,275,80,59.2,
run-07-seed-0006,6,,2026-09-04T18:45:51.087384+00:00,1,1,0,500,288,212,0,0,265,88,57.6,
run-08-seed-0007,7,,2026-09-04T18:46:27.964707+00:00,1,1,0,500,292,208,0,0,273,77,58.4,
run-09-seed-0008,8,,2026-09-04T18:47:04.873538+00:00,1,1,0,500,288,212,0,0,280,95,57.6,
run-10-seed-0009,9,,2026-09-04T18:47:42.689477+00:00,1,1,0,500,284,216,0,0,260,77,56.8,
run-11-seed-0010,10,,2026-09-04T18:48:20.084506+00:00,1,1,0,500,306,194,0,0,288,86,61.2,
run-12-seed-0011,11,,2026-09-04T18:48:56.374598+00:00,1,1,0,500,293,207,0,0,272,85,58.6,
run-13-seed-0012,12,,2026-09-04T18:49:32.815526+00:00,1,1,0,500,291,209,0,0,267,86,58.2,
run-14-seed-0013,13,,2026-09-04T18:50:10.140979+00:00,1,1,0,500,299,201,0,0,284,88,59.8,
run-15-seed-0014,14,,2026-09-04T18:50:46.142060+00:00,1,1,0,500,288,212,0,0,274,93,57.6,
