run,seed,model,timestamp,iterations,iterations_with_data,iterations_rejected,executed,accepted,rejected,encoding_errors,crashes,structural_fingerprints,rejection_signatures,acceptance_percentage,problems
run-01-seed-0000,0,gpt-4.1-mini,2026-09-04T18:51:24.022646+00:00,5,4,1,2000,1962,15,23,0,713,13,98.1,
run-02-seed-0001,1,gpt-4.1-mini,2026-09-04T18:55:56.987425+00:00,5,4,1,2000,1920,58,22,0,733,46,96.0,
run-03-seed-0002,2,gpt-4.1-mini,2026-09-04T19:01:03.512066+00:00,5,4,1,2000,1946,40,14,0,900,34,97.3,
run-04-seed-0003,3,gpt-4.1-mini,2026-09-04T19:04:25.483057+00:00,5,2,3,1000,985,0,15,0,452,0,98.5,
run-05-seed-0004,4,gpt-4.1-mini,2026-09-04T19:06:55.549308+00:00,5,2,3,1000,999,0,1,0,372,0,99.9,
run-06-seed-0005,5,gpt-4.1-mini,2026-09-04T19:08:59.940760+00:00,5,2,3,1000,985,2,13,0,314,2,98.5,
run-07-seed-0006,6,gpt-4.1-mini,2026-09-04T19:12:15.107744+00:00,5,4,1,2000,1809,148,43,0,1070,118,90.45,
run-08-seed-0007,7,gpt-4.1-mini,2026-09-04T19:16:41.587308+00:00,5,2,3,1000,903,90,7,0,369,67,90.3,
run-09-seed-0008,8,gpt-4.1-mini,2026-09-04T19:19:21.766729+00:00,5,2,3,1000,985,0,15,0,407,0,98.5,
run-10-seed-0009,9,gpt-4.1-mini,2026-09-04T19:21:33.245605+00:00,5,4,1,2000,1973,14,13,0,641,12,98.65,
run-11-seed-0010,10,gpt-4.1-mini,2026-09-04T19:26:37.634887+00:00,5,4,1,2000,1967,0,33,0,769,0,98.35,
run-12-seed-0011,11,gpt-4.1-mini,2026-09-04T19:30:43.413914+00:00,5,2,3,1000,996,0,4,0,365,0,99.6,
run-13-seed-0012,12,gpt-4.1-mini,2026-09-04T19:32:50.559565+00:00,5,4,1,2000,1916,74,10,0,677,61,95.8,
run-14-seed-0013,13,gpt-4.1-mini,2026-09-04T19:38:00.553486+00:00,5,3,2,1500,1476,8,16,0,541,8,98.4,
run-15-seed-0014,14,gpt-4.1-mini,2026-09-04T19:44:27.554945+00:00,5,3,2,1500,1466,0,34,0,650,0,97.733,
